City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Kearney,US,40.6995,-99.0815,76.91,67,100,29.93,overcast clouds
256,Bengkulu,ID,-3.8004,102.2655,83.79,73,90,9.84,overcast clouds
257,Oloron-Sainte-Marie,FR,43.1944,-0.6107,69.73,87,36,3.33,scattered clouds
258,Kalpi,IN,26.1167,79.7333,88.57,64,100,6.58,moderate rain
259,Gbarnga,LR,6.9956,-9.4722,68.2,99,99,1.03,overcast clouds
260,Ribeira Grande,PT,38.5167,-28.7,72.1,88,39,2.91,scattered clouds
261,Port Hardy,CA,50.6996,-127.4199,55.58,82,20,10.36,few clouds
262,Tuatapere,NZ,-46.1333,167.6833,42.94,92,100,3.0,overcast clouds
263,Chegdomyn,RU,51.1167,133.0167,76.66,49,47,3.85,scattered clouds
264,Mareeba,AU,-17.0,145.4333,79.45,57,21,4.27,few clouds
265,Culpeper,US,38.5004,-77.9664,74.61,94,0,0.0,clear sky
266,Fortuna,US,40.5982,-124.1573,59.94,83,55,1.99,broken clouds
267,Avera,US,33.194,-82.5271,76.51,92,93,6.33,overcast clouds
268,Taywarah,AF,33.35,64.4167,82.0,12,0,2.26,clear sky
269,Rundu,NA,-17.9333,19.7667,55.35,59,4,6.89,clear sky
270,Zeya,RU,53.75,127.2667,82.26,44,45,1.61,scattered clouds
271,Campbell River,CA,50.0163,-125.2446,69.33,72,100,6.87,overcast clouds
272,Kokstad,ZA,-30.5472,29.4241,47.55,68,1,4.25,clear sky
273,San Quintin,MX,30.4833,-115.95,68.92,82,35,9.6,scattered clouds
274,Qorveh,IR,35.1664,47.8045,81.68,16,0,4.83,clear sky
275,Hokitika,NZ,-42.7167,170.9667,47.08,68,0,6.87,clear sky
276,Biak,ID,-0.9131,122.8766,80.58,77,43,8.88,scattered clouds
277,Poum,NC,-20.2333,164.0167,77.04,87,100,20.69,heavy intensity rain
278,Hobart,AU,-42.8794,147.3294,57.06,63,20,12.66,few clouds
279,Zyryanka,RU,65.75,150.85,68.0,36,2,1.99,clear sky
280,Jiayuguan,CN,39.8167,98.3,81.54,15,0,6.71,clear sky
281,Siyabuswa,ZA,-25.1132,29.0445,59.41,61,13,2.84,few clouds
282,Grindavik,IS,63.8424,-22.4338,51.75,100,100,3.44,light intensity drizzle
283,Liuhe,CN,42.2401,125.7172,80.28,64,50,6.78,scattered clouds
284,Hualmay,PE,-11.0964,-77.6139,60.15,87,13,9.15,few clouds
285,Tallahassee,US,30.4383,-84.2807,78.01,94,0,0.0,clear sky
286,Sandane,NO,61.7728,6.215,54.81,71,75,8.05,broken clouds
287,Kabo,CF,7.6994,18.629,70.99,98,100,4.0,moderate rain
288,Zhanakorgan,KZ,43.9098,67.2495,108.52,10,0,12.35,clear sky
289,Busdi,PH,8.2761,125.2514,78.87,86,46,1.97,scattered clouds
290,Torbay,CA,47.6666,-52.7314,61.57,87,75,3.44,broken clouds
291,Aksarayskiy,RU,46.7924,48.0119,83.03,23,23,12.55,few clouds
292,Eenhana,NA,-17.4667,16.3333,53.22,43,0,6.6,clear sky
293,Harbin,CN,45.75,126.65,84.15,44,33,8.52,scattered clouds
294,Lavrentiya,RU,65.5833,-171.0,40.84,78,99,14.18,overcast clouds
295,Humaita,BR,-7.5061,-63.0208,75.9,65,58,2.21,broken clouds
296,Groningen,NL,53.25,6.75,60.22,81,100,3.44,overcast clouds
297,Sarapul,RU,56.4763,53.7978,70.0,60,6,4.63,clear sky
298,San Juan,AR,-31.5375,-68.5364,49.91,40,0,1.39,clear sky
